,genre
tt0220099,"['animation', 'family', 'comedy']"
tt1275590,['comedy']
tt0084707,"['drama', 'romance', 'war']"
tt0107952,"['adventure', 'animation', 'romance', 'family', 'musical']"
tt0758742,"['fantasy', 'mystery', 'thriller']"
tt0810827,"['fantasy', 'mystery', 'thriller']"
tt0280030,"['adventure', 'animation', 'fantasy', 'family']"
tt0097814,"['fantasy', 'anime', 'family']"
tt0361748,"['drama', 'thriller', 'war']"
tt0476680,"['action', 'adventure', 'comedy', 'anime']"
tt0791188,"['adventure', 'fantasy', 'anime']"
tt1160524,"['action', 'fantasy', 'anime']"
tt1132608,['comedy']
tt0328955,['comedy']
tt0063385,"['drama', 'music', 'family', 'musical']"
tt1067106,"['animation', 'family', 'holiday', 'fantasy']"
tt0396707,"['adventure', 'fantasy', 'romance']"
tt1041829,"['comedy', 'drama', 'romance']"
tt0249677,"['animation', 'romance', 'family', 'adventure']"
tt0962736,"['drama', 'history', 'romance']"
tt1078912,"['action', 'adventure', 'comedy', 'fantasy', 'family']"
tt1071815,"['action', 'adventure', 'anime']"
tt1262877,['comedy']
tt0912597,"['action', 'fantasy', 'mystery', 'science-fiction', 'thriller']"
tt1323594,"['animation', 'family', 'comedy']"
tt0457993,"['animation', 'comedy', 'family', 'science-fiction']"
tt0988982,"['action', 'fantasy', 'anime']"
tt0108432,"['anime', 'drama', 'romance']"
tt0181627,"['adventure', 'animation', 'family', 'fantasy']"
tt0445800,"['comedy', 'holiday']"
tt1194616,['comedy']
tt0479997,"['action', 'adventure', 'fantasy']"
tt0848228,"['action', 'adventure', 'science-fiction', 'superhero']"
tt1320082,"['comedy', 'drama', 'musical']"
tt0092978,"['drama', 'thriller', 'war']"
tt0057967,"['comedy', 'crime']"
tt1349856,['comedy']
tt1028532,"['drama', 'family']"
tt0864336,['comedy']
tt0299201,['comedy']
tt3849124,"['comedy', 'family']"
tt0298844,['comedy']
tt1264904,['comedy']
tt0424338,['comedy']
tt0078907,['comedy']
tt1415283,"['comedy', 'fantasy', 'family']"
tt0114272,"['drama', 'romance']"
tt1481363,"['action', 'adventure', 'comedy', 'drama', 'fantasy', 'anime']"
tt0120855,"['adventure', 'animation', 'drama', 'family']"
tt0810415,"['comedy', 'romance']"
tt0305568,"['adventure', 'comedy']"
tt0495596,"['adventure', 'fantasy', 'anime']"
tt1503096,"['comedy', 'holiday']"
tt0398286,"['animation', 'family', 'musical']"
tt1092026,"['adventure', 'comedy', 'science-fiction']"
tt1409024,"['action', 'comedy', 'science-fiction']"
tt1399677,['comedy']
tt1382725,"['drama', 'history', 'war']"
tt1231583,"['comedy', 'drama']"
tt1612608,['comedy']
tt0947798,"['drama', 'thriller', 'horror']"
tt0970179,"['adventure', 'drama', 'family']"
tt0086079,"['comedy', 'war', 'romance']"
tt0903624,"['action', 'adventure', 'fantasy']"
tt1454029,['drama']
tt1703048,"['action', 'adventure', 'anime']"
tt0094872,"['drama', 'history', 'war']"
tt3355694,"['crime', 'drama', 'fantasy', 'thriller', 'anime']"
tt1219289,"['mystery', 'science-fiction', 'thriller']"
tt0107002,"['drama', 'romance']"
tt1528313,['comedy']
tt1509767,"['action', 'adventure', 'thriller']"
tt0486084,['comedy']
tt1583303,['comedy']
tt0285800,"['drama', 'music', 'romance', 'musical']"
tt1170358,"['fantasy', 'adventure', 'action']"
tt1805297,['comedy']
tt1667889,"['adventure', 'animation', 'comedy', 'family']"
tt1634122,"['action', 'comedy', 'crime']"
tt0448694,"['animation', 'family', 'adventure', 'comedy', 'fantasy']"
tt1515091,"['action', 'adventure', 'crime', 'mystery']"
tt0395721,['comedy']
tt1600195,"['action', 'mystery', 'thriller']"
tt2107739,"['musical', 'music', 'history', 'drama']"
tt1217209,"['action', 'adventure', 'animation', 'comedy', 'fantasy', 'family']"
tt1453405,"['animation', 'family']"
tt0069460,['comedy']
tt1598822,"['comedy', 'romance', 'holiday']"
tt2196596,['music']
tt1793931,['comedy']
tt13459930,"['musical', 'music']"
tt3355698,"['crime', 'drama', 'fantasy', 'thriller', 'anime']"
tt1661420,"['drama', 'thriller']"
tt1636780,"['action', 'comedy', 'science-fiction', 'anime']"
tt1793929,['comedy']
tt1890377,['comedy']
tt1999167,"['action', 'comedy', 'horror', 'mystery', 'thriller', 'anime']"
tt2077886,"['music', 'romance', 'drama', 'musical']"
tt1675434,"['comedy', 'drama']"
tt0214878,"['comedy', 'history']"
tt0429227,['comedy']
tt1629443,"['comedy', 'drama', 'family']"
tt1588173,"['comedy', 'horror', 'romance']"
tt1772341,"['adventure', 'animation', 'comedy', 'family']"
tt1707386,"['drama', 'history', 'musical']"
,[]
tt2112281,"['action', 'animation', 'comedy', 'family']"
tt0138539,['comedy']
tt2243393,"['drama', 'music', 'romance', 'musical']"
